sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
ASHR	MVR14	1750.0	1020.66357042927	-729.33642957073	157
ASHR	MDR18	11716.0	10990.25859746138	-725.7414025386206	158
ADFL	MVR04	-6387.0	-5666.028907088785	720.9710929112152	159
IL1R	MVL15	6586.0	7306.774448822008	720.7744488220078	160
FLPL	MVR09	-8414.0	-7703.448765650786	710.5512343492137	161
IL1R	MDR13	5710.0	6419.855492674155	709.8554926741554	162
OLQDR	MDR14	4003.0	3295.9495665615545	-707.0504334384455	163
ASHL	MVL07	6993.0	6295.300701442191	-697.699298557809	164
ASHR	MVL14	1750.0	1054.761269583488	-695.238730416512	165
FLPR	MDR23	8110.0	7417.709606332855	-692.2903936671446	166
ASHR	MDL08	24698.0	24006.726433660286	-691.2735663397143	167
FLPL	MDL16	42812.0	42124.207728392204	-687.7922716077956	168
FLPL	MDR16	42812.0	42124.207728392204	-687.7922716077956	169
FLPL	MDR17	52012.0	51324.44283443201	-687.5571655679887	170
ASHL	MDR09	6706.0	6019.359757141976	-686.6402428580241	171
OLQDR	MVL15	3904.0	3220.197310005166	-683.802689994834	172
OLQDR	MDR12	3705.0	3024.6489378834485	-680.3510621165515	173
ASGL	MDL08	1146.0	1821.3615894012594	675.3615894012594	174
IL1R	MDL13	5710.0	6379.767574543657	669.7675745436572	175
OLQDR	MVR15	3904.0	3235.5393125457804	-668.4606874542196	176
FLPL	MVL09	-7817.0	-7150.152382275412	666.8476177245884	177
FLPR	MDR07	-3298.0	-2637.092699266031	660.9073007339689	178
ASHR	MVL12	2665.0	2005.0458943140377	-659.9541056859623	179
IL1R	MDL12	5631.0	6289.536431542974	658.5364315429742	180
ASHL	MDR13	27293.0	26637.164234327534	-655.8357656724656	181
ASHL	MVR18	20260.0	19608.001990207173	-651.9980097928274	182
ASHL	MVR07	4299.0	3651.5920015748247	-647.4079984251753	183
IL1L	MDR14	6820.0	6173.441934266635	-646.5580657333649	184
ASHR	MVR19	21876.0	21232.934083125198	-643.0659168748025	185
FLPL	MVR13	18658.0	18028.370712027616	-629.6292879723842	186
FLPR	MVR23	-1531.0	-903.9687422253627	627.0312577746373	187
ADFL	MVL08	-831.0	-208.8040145013492	622.1959854986508	188
OLQDR	MDL11	3680.0	3058.6494481404357	-621.3505518595643	189
IL1L	MVL16	5222.0	4606.082423047828	-615.9175769521717	190
OLQDR	MDL13	3405.0	2792.3778810364956	-612.6221189635044	191
IL1L	MDR12	5706.0	5093.59916998057	-612.40083001943	192
OLQDR	MDL12	3705.0	3094.6159153002345	-610.3840846997655	193
OLQDR	MDL14	3994.0	3395.7877773336854	-598.2122226663146	194
ASHR	MVR13	12042.0	11446.114424099536	-595.8855759004637	195
ASHR	MDR19	17787.0	17191.36839878447	-595.6316012155294	196
ADFR	MVL06	-3651.0	-4242.337927431135	-591.3379274311346	197
IL1R	MDR12	5631.0	6222.286273041634	591.2862730416336	198
OLQDR	MDR13	3405.0	2814.1786626223925	-590.8213373776075	199
IL1L	MVR16	5222.0	4634.441652128305	-587.5583478716953	200
