sensory	muscle	gain_pre	gain_post	gain_delta	abs_delta_rank
ASHL	MDL12	37476.231	37620.30174529353	144.07074529353122	143
FLPL	MDL15	-29638.92896	-29495.548429151477	143.38053084852436	144
ASHL	MDR16	22108.05266666667	22250.69807823752	142.64541157085114	145
ASHL	MDL14	39826.46633333334	39968.69170725895	142.22537392561208	146
ADFL	MVL05	-1727.6840000000002	-1869.8640977446669	-142.18009774466668	147
ASHR	MVR13	12052.481666666667	11911.224699372067	-141.25696729459924	148
ASHL	MVR11	12808.999999999998	12950.161249647677	141.16124964767914	149
OLQDL	MVL20	1601.4503333333334	1742.0482969246668	140.59796359133338	150
FLPR	MDR07	-3291.3575566666673	-3151.436101901533	139.92145476513406	151
ADFR	MVR07	260.726	123.81446098334187	-136.91153901665814	152
OLQDL	MVR18	1189.7716666666665	1325.6856104983333	135.91394383166676	153
FLPL	MDL07	-8621.441263333332	-8756.950521971094	-135.50925863776138	154
FLPR	MDL21	3948.087666666667	4082.0034050597865	133.91573839311968	155
ASHR	MVR05	384.06700000000006	251.96567455533332	-132.10132544466674	156
FLPL	MVL10	26611.419666666665	26741.830483494872	130.41081682820732	157
OLQDL	MVL14	1110.35	1240.2731299173333	129.92312991733343	158
FLPL	MDR09	-4310.197666666666	-4180.829646526904	129.36802013976194	159
OLQDL	MVR14	1110.3476666666668	1238.8575873790192	128.50992071235237	160
ASHL	MDL08	16940.232346666668	17068.650965025	128.41861835833333	161
FLPR	MVL12	-9711.27125	-9583.673491398335	127.59775860166519	162
FLPL	MDL24	2216.5679999999993	2341.3942023400664	124.82620234006708	163
FLPR	MDL17	50231.424666666666	50354.17706763093	122.75240096426569	164
FLPL	MVL09	-7832.014999999999	-7953.037934136786	-121.02293413678672	165
ASHR	MDR08	27398.251080000002	27518.969758250627	120.71867825062509	166
ASHL	MVL12	7008.345853333333	7128.9608521106675	120.61499877733422	167
FLPL	MVL11	27539.161	27418.668636595998	-120.49236340400239	168
ADFR	MVL05	-1326.27728	-1444.028256119667	-117.75097611966703	169
ASHR	MVR15	55216.797000000006	55099.49872034633	-117.2982796536744	170
OLQDL	MVR11	1001.8993333333333	1117.4128616666665	115.51352833333317	171
OLQDL	MDR17	947.5180266666667	1062.6699447373335	115.15191807066674	172
ASHR	MVL15	54803.134300000005	54918.05737968804	114.92307968803652	173
OLQDL	MDL17	946.1180266666668	1057.2738197299998	111.15579306333302	174
FLPL	MDR10	30396.62933333333	30507.338248431497	110.70891509816647	175
OLQDL	MVL11	1001.8459999999999	1112.4686244233335	110.6226244233336	176
ASHR	MVR14	1769.2836666666665	1659.2040258797483	-110.07964078691816	177
FLPL	MDL10	30219.77933333333	30329.802268985466	110.02293565213768	178
ASHL	MVR15	45236.49265333333	45346.272632337015	109.77997900368791	179
ASHR	MVR20	41079.284499999994	41188.611801479674	109.32730147967959	180
OLQDL	MDR20	900.4536933333334	1006.7218120586668	106.26811872533347	181
OLQDL	MVL18	1187.3139999999996	1290.6979224983334	103.38392249833373	182
FLPR	MVL07	10399.614666666666	10502.023193410985	102.4085267443188	183
ASJR	MVULVA	2896.9073333333336	2999.3062844223336	102.3989510890001	184
FLPL	MVR10	26362.185	26464.45071376199	102.2657137619899	185
OLQDL	MVR12	1055.3473333333334	1157.586448751333	102.23911541799953	186
ASGL	MVL07	2062.756	2164.4872116183333	101.73121161833342	187
ASGR	MDR07	446.4376666666667	547.6901083890001	101.2524417223334	188
ASGL	MDR13	1136.382	1237.3937510526669	101.0117510526668	189
FLPL	MVR12	-23705.124333333333	-23604.75844156714	100.36589176619236	190
IL1R	MDR07	-390.8670000000001	-490.9965176803335	-100.12951768033344	191
ASHR	MVL11	15126.706333333334	15027.710101213333	-98.99623212000006	192
OLQVL	MDR13	2513.656	2611.5110275577736	97.85502755777361	193
ASHL	MDR09	6722.839000000001	6820.32418794487	97.48518794486881	194
OLQDL	MVR19	736.5416666666666	833.8397953013334	97.2981286346668	195
ASHR	MDL09	5184.273666666667	5087.792248520478	-96.48141814618884	196
OLQDL	MVL12	1044.3846666666666	1140.7792958813332	96.39462921466657	197
ADFL	MDR13	3441.746666666667	3537.6390435893327	95.89237692266579	198
ASHR	MVL16	37364.37066666667	37269.83573324445	-94.53493342221918	199
OLQDL	MDL20	900.4536933333334	994.9038056663334	94.45011233299999	200
